,Adj Close,Close,High,Low,Open,Volume
2000-01-03,3.4702255725860596,3.997767925262451,4.017857074737549,3.6316964626312256,3.7455356121063232,133949200.0
2000-01-04,3.177650213241577,3.6607143878936768,3.950892925262451,3.6138393878936768,3.8660714626312256,128094400.0
2000-01-05,3.224151849746704,3.7142856121063232,3.9486606121063232,3.6785714626312256,3.705357074737549,194580400.0
2000-01-06,2.945138931274414,3.392857074737549,3.8214285373687744,3.392857074737549,3.7901785373687744,191993200.0
2000-01-07,3.0846450328826904,3.5535714626312256,3.607142925262451,3.4107143878936768,3.4464285373687744,115183600.0
2000-01-10,3.030392646789551,3.4910714626312256,3.6517856121063232,3.3839285373687744,3.642857074737549,126266000.0
2000-01-11,2.8753855228424072,3.3125,3.549107074737549,3.232142925262451,3.4263393878936768,110387200.0
2000-01-12,2.702939510345459,3.1138393878936768,3.4107143878936768,3.0892856121063232,3.392857074737549,244017200.0
2000-01-13,2.9993913173675537,3.455357074737549,3.5267856121063232,3.3035714626312256,3.3744418621063232,258171200.0
2000-01-14,3.11370849609375,3.5870535373687744,3.6517856121063232,3.549107074737549,3.5714285373687744,97594000.0
2000-01-18,3.2222135066986084,3.7120535373687744,3.7857143878936768,3.5870535373687744,3.607142925262451,114794400.0
2000-01-19,3.3035922050476074,3.8058035373687744,3.8839285373687744,3.6919643878936768,3.7723214626312256,149410800.0
2000-01-20,3.518665313720703,4.0535712242126465,4.339285850524902,4.0535712242126465,4.125,457783200.0
2000-01-21,3.4508492946624756,3.9754464626312256,4.080357074737549,3.935267925262451,4.080357074737549,123981200.0
2000-01-24,3.2939040660858154,3.794642925262451,4.026785850524902,3.7544643878936768,3.872767925262451,110219200.0
2000-01-25,3.4799141883850098,4.0089287757873535,4.0401787757873535,3.65625,3.75,124286400.0
2000-01-26,3.4159727096557617,3.935267925262451,4.078125,3.919642925262451,3.9285714626312256,91789600.0
2000-01-27,3.4101600646972656,3.9285714626312256,4.035714149475098,3.8214285373687744,3.8861606121063232,85036000.0
2000-01-28,3.1505227088928223,3.6294643878936768,3.9598214626312256,3.59375,3.8638393878936768,105837200.0
2000-01-31,3.2164013385772705,3.705357074737549,3.7098214626312256,3.375,3.607142925262451,175420000.0
2000-02-01,3.107896089553833,3.580357074737549,3.75,3.5714285373687744,3.7142856121063232,79508800.0
2000-02-02,3.0633323192596436,3.529017925262451,3.6473214626312256,3.4642856121063232,3.5982143878936768,116048800.0
2000-02-03,3.202838659286499,3.689732074737549,3.7232143878936768,3.580357074737549,3.5825893878936768,118798400.0
2000-02-04,3.3481571674346924,3.857142925262451,3.9285714626312256,3.700892925262451,3.7120535373687744,106330000.0
2000-02-07,3.536104440689087,4.073660850524902,4.080357074737549,3.783482074737549,3.857142925262451,110266800.0
2000-02-08,3.561292886734009,4.1026787757873535,4.1473212242126465,3.9732143878936768,4.0714287757873535,102160800.0
2000-02-09,3.4915385246276855,4.0223212242126465,4.183035850524902,4.015625,4.075892925262451,74841200.0
2000-02-10,3.518665313720703,4.0535712242126465,4.066964149475098,3.9285714626312256,4.03125,75745600.0
2000-02-11,3.3714089393615723,3.8839285373687744,4.075892925262451,3.8660714626312256,4.058035850524902,53062800.0
2000-02-14,3.5903561115264893,4.136160850524902,4.138392925262451,3.8794643878936768,3.904017925262451,91884800.0
2000-02-15,3.689173936843872,4.25,4.283482074737549,4.113839149475098,4.1160712242126465,121436000.0
2000-02-16,3.5380420684814453,4.075892925262451,4.21875,4.004464149475098,4.205357074737549,94561600.0
2000-02-17,3.561292886734009,4.1026787757873535,4.125,4.0401787757873535,4.113839149475098,72374400.0
2000-02-18,3.4489123821258545,3.9732143878936768,4.120535850524902,3.9598214626312256,4.09375,58360400.0
2000-02-22,3.528352975845337,4.064732074737549,4.176339149475098,3.810267925262451,3.9330356121063232,105574000.0
2000-02-23,3.603919506072998,4.151785850524902,4.25,3.9642856121063232,4.0440850257873535,118274800.0
